c1,c2,ground_truth,text_predict,graph_predict
K_操作命令_计算机科学与技术,K_重新启动_计算机科学与技术,1,"[0.015044071711599827, 0.984955906867981]","[0.00342249171808362, 0.9965775012969971]"
K_辅助存储器_计算机科学与技术,K_文件管理_计算机科学与技术,1,"[0.021725013852119446, 0.9782750010490417]","[0.006573379971086979, 0.9934266209602356]"
K_二进制数字_计算机科学与技术,K_并行编译_计算机科学与技术,1,"[0.14969924092292786, 0.8503007292747498]","[0.019302276894450188, 0.980697751045227]"
K_中断信号_计算机科学与技术,K_软中断_计算机科学与技术,1,"[0.006793443113565445, 0.9932065606117249]","[0.003391414415091276, 0.996608555316925]"
K_储存空间_计算机科学与技术,K_文件分配_计算机科学与技术,1,"[0.0168029572814703, 0.9831970930099487]","[0.004277931526303291, 0.9957220554351807]"
K_程序状态_计算机科学与技术,K_重新启动_计算机科学与技术,1,"[0.08542672544717789, 0.9145731925964355]","[0.026332104578614235, 0.9736679196357727]"
K_中断服务程序_计算机科学与技术,K_先来先服务_计算机科学与技术,1,"[0.23865211009979248, 0.7613478899002075]","[0.14704394340515137, 0.8529560565948486]"
K_存储分配_计算机科学与技术,K_缓存_计算机科学与技术,1,"[0.045331526547670364, 0.9546685218811035]","[0.10876528918743134, 0.8912346959114075]"
K_冲突检测_计算机科学与技术,K_载波侦听_计算机科学与技术,1,"[0.04557023569941521, 0.9544298052787781]","[0.038595326244831085, 0.9614046216011047]"
K_互连网络_计算机科学与技术,K_广播网络_计算机科学与技术,1,"[0.05107405409216881, 0.9489259719848633]","[0.09181739389896393, 0.9081826210021973]"
K_连接请求_计算机科学与技术,K_链路状态分组_计算机科学与技术,1,"[0.078203484416008, 0.9217965006828308]","[0.07557719200849533, 0.9244228601455688]"
K_高速缓存_计算机科学与技术,K_写访问_计算机科学与技术,1,"[0.06241630017757416, 0.9375836849212646]","[0.0969286859035492, 0.9030713438987732]"
