course_id,concept_id
C_597208,K_data visualization_计算机科学与技术
C_597208,K_an address_计算机科学与技术
C_597208,K_use data_计算机科学与技术
C_597208,K_search engine_计算机科学与技术
C_597208,K_our database_计算机科学与技术
C_597208,K_black color_计算机科学与技术
C_597208,K_data information_计算机科学与技术
C_597208,K_real desire_计算机科学与技术
C_597208,K_tick_计算机科学与技术
C_597208,K_do mapping_计算机科学与技术
C_597208,K_cell phone number_计算机科学与技术
C_597208,K_weather information_计算机科学与技术
C_597208,K_vldb_计算机科学与技术
C_597208,K_mapping._计算机科学与技术
C_597208,K_itemset _计算机科学与技术
C_597208,K_like area_计算机科学与技术
C_597208,K_nice name_计算机科学与技术
C_597208,K_light color_计算机科学与技术
C_597208,K_pdf files_计算机科学与技术
C_597208,K_keep talking_计算机科学与技术
C_597208,K_shop online_计算机科学与技术
C_597208,K_the database _计算机科学与技术
C_597208,K_data sets_计算机科学与技术
C_597208,K_distribution of data_计算机科学与技术
C_597208,K_research room_计算机科学与技术
C_597208,K_in chapter 6_计算机科学与技术
C_597208,K_动画_计算机科学与技术
C_597208,K_data ming_计算机科学与技术
C_597208,K_digital memory_计算机科学与技术
C_597208,K_estimate _计算机科学与技术
C_597208,K_in data mining_计算机科学与技术
C_597208,K_related survey paper_计算机科学与技术
C_597208,K_two data _计算机科学与技术
C_597208,K_obverse up_计算机科学与技术
C_597208,K_learning rate _计算机科学与技术
C_597208,K_previous itemset_计算机科学与技术
C_597208,K_blue piece._计算机科学与技术
C_597208,K_nature selection_计算机科学与技术
C_597208,K_binary._计算机科学与技术
C_597208,K_network _计算机科学与技术
C_597208,K_office buildings_计算机科学与技术
C_597208,K_redundant information _计算机科学与技术
C_597208,K_shared points_计算机科学与技术
C_597208,K_keyword._计算机科学与技术
C_597208,K_neures_计算机科学与技术
C_597208,K_cart_计算机科学与技术
C_597208,K_send _计算机科学与技术
C_597208,K_credit card_计算机科学与技术
C_597208,K_规则_计算机科学与技术
C_597208,K_ocean of data_计算机科学与技术
C_597208,K_根_计算机科学与技术
C_597208,K_local best_计算机科学与技术
C_597208,K_big screen_计算机科学与技术
C_597208,K_policy support_计算机科学与技术
C_597208,K_two articles_计算机科学与技术
C_597208,K_data to model._计算机科学与技术
C_597208,K_of code._计算机科学与技术
C_597208,K_biology books_计算机科学与技术
C_597208,K_simple search_计算机科学与技术
C_597208,K_地价贵_计算机科学与技术
C_597208,K_color _计算机科学与技术
C_597208,K_link farm_计算机科学与技术
C_597208,K_root node_计算机科学与技术
C_597208,K_类型_计算机科学与技术
C_597208,K_like object_计算机科学与技术
C_597208,K_s value_计算机科学与技术
C_597208,K_age of big data_计算机科学与技术
C_597208,K_trends _计算机科学与技术
C_597208,K_year article_计算机科学与技术
C_597208,K_good movie_计算机科学与技术
C_597208,K_train again_计算机科学与技术
C_597208,K_区_计算机科学与技术
C_597208,K_its search space_计算机科学与技术
C_597208,K_pca _计算机科学与技术
C_597208,K_electronic know_计算机科学与技术
C_597208,K_your target here_计算机科学与技术
C_597208,K_codec_计算机科学与技术
C_597208,K_bottom data_计算机科学与技术
C_597208,K_an itemset_计算机科学与技术
C_597208,K_cpus_计算机科学与技术
C_597208,K_抽烟者_计算机科学与技术
C_597208,K_leaf node_计算机科学与技术
C_597208,K_格_计算机科学与技术
C_597208,K_microblog._计算机科学与技术
C_597208,K_scatter _计算机科学与技术
C_597208,K_sports news_计算机科学与技术
C_597208,K_previous page_计算机科学与技术
C_597208,K_landmark book_计算机科学与技术
C_597208,K_text files_计算机科学与技术
C_597208,K_bagging_计算机科学与技术
C_597208,K_ICML_计算机科学与技术
C_597208,K_open source_计算机科学与技术
C_597208,K_visual software _计算机科学与技术
C_597208,K_stale information_计算机科学与技术
C_597208,K_formulas inside_计算机科学与技术
C_597208,K_bit _计算机科学与技术
C_597208,K_0 part_计算机科学与技术
C_597208,K_bp network._计算机科学与技术
C_597208,K_data table_计算机科学与技术
C_597208,K_big mall_计算机科学与技术
C_597208,K_thing that _计算机科学与技术
C_597208,K_error for_计算机科学与技术
C_597208,K_data structures_计算机科学与技术
C_597208,K_learning systems_计算机科学与技术
C_597208,K_h1xi_计算机科学与技术
C_597208,K_angle of view_计算机科学与技术
C_597208,K_my itemset_计算机科学与技术
C_597208,K_wear _计算机科学与技术
C_597208,K_two data_计算机科学与技术
C_597208,K_to 2d information_计算机科学与技术
C_597208,K_base station_计算机科学与技术
C_597208,K_eighths_计算机科学与技术
C_597208,K_pure _计算机科学与技术
C_597208,K_cards _计算机科学与技术
C_597208,K_an 85_计算机科学与技术
C_597208,K_+ 2_计算机科学与技术
C_597208,K_projection again_计算机科学与技术
C_597208,K_as itemsets._计算机科学与技术
C_597208,K_microblog data_计算机科学与技术
C_597208,K_error back_计算机科学与技术
C_597208,K_local _计算机科学与技术
C_597208,K_operations _计算机科学与技术
C_597208,K_times when data_计算机科学与技术
C_597208,K_word line_计算机科学与技术
C_597208,K_C4.5_计算机科学与技术
C_597208,K_big step_计算机科学与技术
C_597208,K_more data online_计算机科学与技术
C_597208,K_area under curve_计算机科学与技术
C_597208,K_ts matrix_计算机科学与技术
C_597208,K_weight survey_计算机科学与技术
C_597208,K_PBA_计算机科学与技术
C_597208,K_long number_计算机科学与技术
C_597208,K_can find z_计算机科学与技术
C_597208,K_red points_计算机科学与技术
C_597208,K_ic designs_计算机科学与技术
C_597208,K_excel or pdf_计算机科学与技术
C_597208,K_looks _计算机科学与技术
C_597208,K_实现_计算机科学与技术
C_597208,K_rhs_计算机科学与技术
C_597208,K_top conference_计算机科学与技术
C_597208,K_bank cards_计算机科学与技术
C_597208,K_lof value_计算机科学与技术
C_597208,K_abcd pages_计算机科学与技术
C_597208,K_to users_计算机科学与技术
C_597208,K_as population size_计算机科学与技术
C_597208,K_collection of data_计算机科学与技术
C_597208,K_错误_计算机科学与技术
C_597208,K_class information_计算机科学与技术
C_597208,K_文本分类_计算机科学与技术
C_597208,K_error rate_计算机科学与技术
C_597208,K_an value_计算机科学与技术
C_597208,K_data points_计算机科学与技术
C_597208,K_3d information_计算机科学与技术
C_597208,K_software _计算机科学与技术
C_597208,K_test set_计算机科学与技术
C_597208,K_feel _计算机科学与技术
C_597208,K_deep learning_计算机科学与技术
C_597208,K_条件_计算机科学与技术
C_597208,K_open source _计算机科学与技术
C_597208,K_write code_计算机科学与技术
C_597208,K_big collection of data_计算机科学与技术
C_597208,K_more data_计算机科学与技术
C_597208,K_core point_计算机科学与技术
C_597208,K_photo at home_计算机科学与技术
C_597208,K_public data_计算机科学与技术
C_597208,K_log1_计算机科学与技术
C_597208,K_spring board_计算机科学与技术
C_597208,K_stocks _计算机科学与技术
C_597208,K_english channel_计算机科学与技术
C_597208,K_fitter_计算机科学与技术
C_597208,K_do data mining_计算机科学与技术
