course_id,exercise_id,titles,chapter
C_597208,Ex_2972,"['走进数据科学：博大精深，美不胜收', None, '第一章第二节测试题']",1.2
C_597208,Ex_2973,"['走进数据科学：博大精深，美不胜收', None, '第一章第三节测试题']",1.4
C_597208,Ex_2974,"['走进数据科学：博大精深，美不胜收', None, '第一章第四节测试题']",1.6
C_597208,Ex_2975,"['走进数据科学：博大精深，美不胜收', None, '第一章第五节测试题']",1.8
C_597208,Ex_2976,"['走进数据科学：博大精深，美不胜收', None, '第一章第六节测试题']",1.10
C_597208,Ex_2977,"['走进数据科学：博大精深，美不胜收', None, '第一章第七节测试题']",1.12
C_597208,Ex_2978,"['走进数据科学：博大精深，美不胜收', None, '第一章第八节测试题']",1.14
C_597208,Ex_2990,"['数据预处理：抽丝剥茧，去伪存真', None, '第二章第一节测试题']",2.1
C_597208,Ex_2991,"['数据预处理：抽丝剥茧，去伪存真', None, '第二章第二节测试题']",2.3
C_597208,Ex_2992,"['数据预处理：抽丝剥茧，去伪存真', None, '第二章第三节测试题']",2.5
C_597208,Ex_2993,"['数据预处理：抽丝剥茧，去伪存真', None, '第二章第四节测试题']",2.7
C_597208,Ex_2994,"['数据预处理：抽丝剥茧，去伪存真', None, '第二章第五节测试题']",2.9
C_597208,Ex_2995,"['数据预处理：抽丝剥茧，去伪存真', None, '第二章第六节测试题']",2.11
C_597208,Ex_2996,"['数据预处理：抽丝剥茧，去伪存真', None, '第二章第七节测试题']",2.13
C_597208,Ex_3004,"['从贝叶斯到决策树：意料之外，情理之中', None, '第三章第一节测试题']",3.1
C_597208,Ex_3005,"['从贝叶斯到决策树：意料之外，情理之中', None, '第三章第二节测试题']",3.3
C_597208,Ex_3006,"['从贝叶斯到决策树：意料之外，情理之中', None, '第三章第三节测试题']",3.5
C_597208,Ex_3007,"['从贝叶斯到决策树：意料之外，情理之中', None, '第三章第四节测试题']",3.7
C_597208,Ex_3016,"['神经网络：巨量并行，智慧无限', None, '第四章第一节测试题']",4.1
C_597208,Ex_3017,"['神经网络：巨量并行，智慧无限', None, '第四章第二节测试题']",4.3
C_597208,Ex_3018,"['神经网络：巨量并行，智慧无限', None, '第四章第三节测试题']",4.5
C_597208,Ex_3019,"['神经网络：巨量并行，智慧无限', None, '第四章第四节测试题']",4.7
C_597208,Ex_3020,"['神经网络：巨量并行，智慧无限', None, '第四章第五节测试题']",4.9
C_597208,Ex_3021,"['神经网络：巨量并行，智慧无限', None, '第四章第六节测试题']",4.11
C_597208,Ex_3029,"['支持向量机：数学之美，巅峰之作', None, '第五章第一节测试题']",5.1
C_597208,Ex_3030,"['支持向量机：数学之美，巅峰之作', None, '第五章第二节测试题']",5.3
C_597208,Ex_3031,"['支持向量机：数学之美，巅峰之作', None, '第五章第三节测试题']",5.5
C_597208,Ex_3032,"['支持向量机：数学之美，巅峰之作', None, '第五章第四节测试题']",5.7
C_597208,Ex_3040,"['聚类分析：物以类聚，人以群分', None, '第六章第一节测试题']",6.1
C_597208,Ex_3041,"['聚类分析：物以类聚，人以群分', None, '第六章第二节测试题']",6.3
C_597208,Ex_3042,"['聚类分析：物以类聚，人以群分', None, '第六章第三节测试题']",6.5
C_597208,Ex_3043,"['聚类分析：物以类聚，人以群分', None, '第六章第四节测试题']",6.7
C_597208,Ex_3052,"['关联规则：营销购物，自有乾坤', None, '第七章第一节测试题']",7.1
C_597208,Ex_3053,"['关联规则：营销购物，自有乾坤', None, '第七章第二节测试题']",7.3
C_597208,Ex_3054,"['关联规则：营销购物，自有乾坤', None, '第七章第三节测试题']",7.5
C_597208,Ex_3055,"['关联规则：营销购物，自有乾坤', None, '第七章第四节测试题']",7.7
C_597208,Ex_3056,"['关联规则：营销购物，自有乾坤', None, '第七章第五节测试题']",7.9
C_597208,Ex_3057,"['关联规则：营销购物，自有乾坤', None, '第七章第六节测试题']",7.11
C_597208,Ex_3058,"['关联规则：营销购物，自有乾坤', None, '第七章第七节测试题']",7.13
C_597208,Ex_3065,"['推荐算法：察言观色，投其所好', None, '第八章第一节测试题']",8.1
C_597208,Ex_3066,"['推荐算法：察言观色，投其所好', None, '第八章第二节测试题']",8.3
C_597208,Ex_3067,"['推荐算法：察言观色，投其所好', None, '第八章第三节测试题']",8.5
C_597208,Ex_3068,"['推荐算法：察言观色，投其所好', None, '第八章第四节测试题']",8.7
