course_id,problem_id,exercise_id
C_597208,Pm_3728,Ex_2972
C_597208,Pm_3729,Ex_2972
C_597208,Pm_3730,Ex_2973
C_597208,Pm_3731,Ex_2973
C_597208,Pm_3732,Ex_2973
C_597208,Pm_3733,Ex_2974
C_597208,Pm_3734,Ex_2974
C_597208,Pm_3735,Ex_2975
C_597208,Pm_3736,Ex_2975
C_597208,Pm_3737,Ex_2975
C_597208,Pm_3738,Ex_2975
C_597208,Pm_3739,Ex_2975
C_597208,Pm_3740,Ex_2976
C_597208,Pm_3741,Ex_2976
C_597208,Pm_3742,Ex_2977
C_597208,Pm_3743,Ex_2977
C_597208,Pm_3744,Ex_2977
C_597208,Pm_3745,Ex_2977
C_597208,Pm_3746,Ex_2977
C_597208,Pm_3747,Ex_2977
C_597208,Pm_3748,Ex_2977
C_597208,Pm_3749,Ex_2977
C_597208,Pm_3750,Ex_2978
C_597208,Pm_3751,Ex_2978
C_597208,Pm_3752,Ex_2978
C_597208,Pm_3753,Ex_2978
C_597208,Pm_3754,Ex_2978
C_597208,Pm_3755,Ex_2978
C_597208,Pm_3756,Ex_2990
C_597208,Pm_3757,Ex_2990
C_597208,Pm_3758,Ex_2990
C_597208,Pm_3759,Ex_2990
C_597208,Pm_3760,Ex_2990
C_597208,Pm_3761,Ex_2990
C_597208,Pm_3762,Ex_2990
C_597208,Pm_3763,Ex_2991
C_597208,Pm_3764,Ex_2991
C_597208,Pm_3765,Ex_2991
C_597208,Pm_3766,Ex_2991
C_597208,Pm_3767,Ex_2991
C_597208,Pm_3768,Ex_2991
C_597208,Pm_3769,Ex_2992
C_597208,Pm_3770,Ex_2992
C_597208,Pm_3771,Ex_2992
C_597208,Pm_3772,Ex_2992
C_597208,Pm_3773,Ex_2992
C_597208,Pm_3774,Ex_2993
C_597208,Pm_3775,Ex_2993
C_597208,Pm_3776,Ex_2993
C_597208,Pm_3777,Ex_2993
C_597208,Pm_3778,Ex_2993
C_597208,Pm_3779,Ex_2994
C_597208,Pm_3780,Ex_2994
C_597208,Pm_3781,Ex_2994
C_597208,Pm_3782,Ex_2994
C_597208,Pm_3783,Ex_2994
C_597208,Pm_3784,Ex_2995
C_597208,Pm_3785,Ex_2995
C_597208,Pm_3786,Ex_2995
C_597208,Pm_3787,Ex_2995
C_597208,Pm_3788,Ex_2995
C_597208,Pm_3789,Ex_2996
C_597208,Pm_3790,Ex_2996
C_597208,Pm_3791,Ex_2996
C_597208,Pm_3792,Ex_2996
C_597208,Pm_3793,Ex_2996
C_597208,Pm_3794,Ex_2996
C_597208,Pm_3795,Ex_3004
C_597208,Pm_3796,Ex_3004
C_597208,Pm_3797,Ex_3004
