problem_id,concept_id
Pm_600809,K_LR_计算机科学与技术
Pm_600813,K_LR_计算机科学与技术
Pm_600813,K_LR_计算机科学与技术
Pm_600815,K_LR_计算机科学与技术
Pm_600815,K_LR_计算机科学与技术
Pm_600804,K_LL_计算机科学与技术
Pm_600809,K_LL_计算机科学与技术
Pm_600812,K_LL_计算机科学与技术
Pm_600798,K_自顶向下语法分析器_计算机科学与技术
Pm_89849,K_多继承_计算机科学与技术
Pm_102057,K_多继承_计算机科学与技术
Pm_102057,K_多继承_计算机科学与技术
Pm_493888,K_实参_计算机科学与技术
Pm_493888,K_实参_计算机科学与技术
Pm_493889,K_实参_计算机科学与技术
Pm_493889,K_实参_计算机科学与技术
Pm_493892,K_实参_计算机科学与技术
Pm_1395105,K_实参_计算机科学与技术
Pm_184158,K_图形库_计算机科学与技术
Pm_412422,K_外部中断_计算机科学与技术
Pm_412422,K_外部中断_计算机科学与技术
Pm_412388,K_外部中断_计算机科学与技术
Pm_696320,K_外部中断_计算机科学与技术
Pm_274262,K_外部中断_计算机科学与技术
Pm_1007594,K_计算机语言_计算机科学与技术
Pm_696360,K_最近最少使用_计算机科学与技术
Pm_405315,K_密码体制_计算机科学与技术
Pm_405315,K_密码体制_计算机科学与技术
Pm_281040,K_最左推导_计算机科学与技术
Pm_281033,K_最左推导_计算机科学与技术
Pm_281036,K_最左推导_计算机科学与技术
Pm_412350,K_指令流水线_计算机科学与技术
Pm_178660,K_订阅_计算机科学与技术
Pm_178660,K_订阅_计算机科学与技术
Pm_178660,K_订阅_计算机科学与技术
Pm_285096,K_订阅_计算机科学与技术
Pm_285114,K_订阅_计算机科学与技术
Pm_484207,K_备课_教育学
Pm_110857,K_测试用例_计算机科学与技术
Pm_110875,K_测试用例_计算机科学与技术
Pm_110875,K_测试用例_计算机科学与技术
Pm_110878,K_测试用例_计算机科学与技术
Pm_110879,K_测试用例_计算机科学与技术
Pm_110879,K_测试用例_计算机科学与技术
Pm_478388,K_格_计算机科学与技术
Pm_281030,K_格_计算机科学与技术
Pm_3059547,K_格_计算机科学与技术
Pm_3033304,K_格_计算机科学与技术
Pm_3069042,K_格_计算机科学与技术
Pm_89866,K_有序表_计算机科学与技术
Pm_89866,K_有序表_计算机科学与技术
Pm_504628,K_有序表_计算机科学与技术
Pm_504628,K_有序表_计算机科学与技术
Pm_184159,K_直接光照_计算机科学与技术
Pm_276249,K_多输入多输出_计算机科学与技术
Pm_600764,K_1型文法_计算机科学与技术
Pm_600772,K_1型文法_计算机科学与技术
Pm_600776,K_1型文法_计算机科学与技术
Pm_691684,K_缓冲池_计算机科学与技术
Pm_691691,K_缓冲池_计算机科学与技术
Pm_1387543,K_沉浸感_计算机科学与技术
Pm_184140,K_沉浸感_计算机科学与技术
Pm_184145,K_沉浸感_计算机科学与技术
Pm_294441,K_命名空间_计算机科学与技术
Pm_110886,K_适应性维护_计算机科学与技术
Pm_1209641,K_数据传输率_计算机科学与技术
Pm_176748,K_两阶段锁_计算机科学与技术
Pm_504647,K_两阶段锁_计算机科学与技术
Pm_504647,K_两阶段锁_计算机科学与技术
Pm_504647,K_两阶段锁_计算机科学与技术
Pm_504647,K_两阶段锁_计算机科学与技术
Pm_504647,K_两阶段锁_计算机科学与技术
Pm_405326,K_访问控制列表_计算机科学与技术
Pm_405326,K_访问控制列表_计算机科学与技术
Pm_405326,K_访问控制列表_计算机科学与技术
Pm_405326,K_访问控制列表_计算机科学与技术
Pm_281024,K_右线性文法_计算机科学与技术
Pm_281024,K_线性文法_计算机科学与技术
Pm_281024,K_线性文法_计算机科学与技术
Pm_281024,K_线性文法_计算机科学与技术
Pm_281024,K_线性文法_计算机科学与技术
Pm_281024,K_线性文法_计算机科学与技术
Pm_600785,K_线性文法_计算机科学与技术
Pm_491660,K_基本网系统_计算机科学与技术
Pm_491661,K_基本网系统_计算机科学与技术
Pm_146717,K_自启动_计算机科学与技术
Pm_696315,K_逻辑块_计算机科学与技术
Pm_149247,K_输入规模_计算机科学与技术
Pm_276162,K_快速排序_计算机科学与技术
Pm_136292,K_生成树_计算机科学与技术
