user_id,course_id,enroll_time
U_24,C_597214,2019-05-20 16:06:48
U_24,C_597211,2019-06-11 02:50:04
U_24,C_597208,2019-06-17 15:22:41
U_24,C_597159,2019-08-15 16:18:57
U_1165,C_676953,2019-11-15 12:45:13
U_1165,C_680762,2019-12-05 14:25:04
U_1165,C_680745,2019-12-05 14:25:28
U_1165,C_677157,2019-12-05 14:26:02
U_1165,C_681357,2020-01-16 12:24:33
U_1165,C_682381,2020-02-12 23:21:48
U_1481,C_734011,2020-06-02 23:44:11
U_1481,C_697821,2020-06-07 13:45:59
U_1481,C_682360,2020-06-08 05:56:01
U_1481,C_697791,2020-06-12 21:30:44
U_1613,C_682189,2019-10-27 15:36:58
U_1613,C_697791,2019-10-27 15:38:02
U_1613,C_784172,2019-10-27 15:39:55
U_1613,C_682672,2019-10-27 15:41:16
U_2325,C_697791,2020-02-04 11:27:41
U_2325,C_696922,2020-02-04 11:42:06
U_2325,C_680762,2020-02-04 12:34:17
U_2325,C_735157,2020-02-04 12:34:55
U_7312,C_697778,2020-02-06 10:37:55
U_7312,C_682610,2020-02-21 09:08:15
U_7312,C_681678,2020-02-23 12:50:16
U_7312,C_770751,2020-02-26 15:21:26
U_7312,C_682400,2020-03-15 17:21:48
U_7312,C_681745,2020-08-17 08:02:59
U_7650,C_696922,2020-01-03 23:24:26
U_7650,C_735157,2020-01-19 13:32:02
U_7650,C_677010,2020-01-19 13:34:55
U_7650,C_680931,2020-02-08 04:26:11
U_7650,C_697791,2020-09-16 07:11:25
U_7650,C_676937,2020-09-16 07:13:52
U_7957,C_680745,2020-02-15 10:30:54
U_7957,C_735157,2020-02-15 10:31:49
U_7957,C_734011,2020-02-15 10:40:06
U_7957,C_682759,2020-02-15 10:43:07
U_7957,C_696922,2020-02-15 10:55:58
U_8025,C_677010,2020-09-27 20:50:01
U_8025,C_682610,2020-09-27 20:50:51
U_8025,C_681678,2020-09-27 20:57:11
U_8025,C_680747,2020-09-27 20:57:59
U_9006,C_734011,2019-12-02 10:42:35
U_9006,C_682610,2019-12-09 11:01:02
U_9006,C_696773,2019-12-20 10:06:42
U_9006,C_697821,2020-02-06 16:42:55
U_10260,C_697821,2020-01-02 23:56:02
U_10260,C_677010,2020-02-17 23:47:13
U_10260,C_676953,2020-05-16 17:15:30
U_10260,C_697791,2020-06-11 10:34:33
U_10368,C_680745,2020-06-25 00:12:11
U_10368,C_697091,2020-06-25 00:12:28
U_10368,C_676953,2020-07-13 23:40:51
U_10368,C_697821,2020-07-13 23:41:51
U_10368,C_677010,2020-07-13 23:42:22
U_10368,C_707379,2020-07-13 23:42:49
U_10368,C_697791,2020-08-02 10:40:43
U_11024,C_697821,2020-04-24 20:12:32
U_11024,C_677218,2020-04-24 20:13:49
U_11024,C_697791,2020-08-31 18:52:07
U_11024,C_676937,2020-08-31 18:54:38
U_11024,C_682610,2020-09-02 04:52:25
U_11024,C_682189,2020-09-02 04:53:30
U_11667,C_697791,2019-11-07 23:40:47
U_11667,C_784172,2019-11-07 23:48:57
U_11667,C_682672,2019-11-07 23:49:42
U_11667,C_697821,2020-09-21 16:45:37
U_11731,C_597220,2019-08-02 18:41:52
U_11731,C_769293,2019-10-10 15:35:18
U_11731,C_680762,2019-10-14 11:51:13
U_11731,C_735157,2019-10-21 10:45:05
U_11731,C_697091,2019-10-28 09:51:58
U_11731,C_707379,2019-10-28 17:20:11
U_11731,C_682637,2019-10-28 17:50:04
U_11731,C_677218,2019-11-04 15:20:24
U_11731,C_677157,2019-11-04 15:35:55
U_11731,C_682610,2019-12-06 08:05:07
U_11731,C_680910,2019-12-10 14:53:50
U_11731,C_697791,2019-12-10 18:46:16
U_11731,C_697821,2019-12-10 18:46:27
U_11731,C_696922,2019-12-14 08:09:38
U_11731,C_696938,2019-12-16 15:16:41
U_11731,C_677010,2019-12-16 15:47:18
U_11731,C_676953,2019-12-30 14:52:46
U_11731,C_682759,2019-12-30 14:52:56
U_11731,C_681678,2020-03-31 08:05:52
U_11731,C_676937,2020-04-13 15:31:15
U_11731,C_682400,2020-04-26 19:01:35
U_11731,C_734011,2020-04-26 19:02:54
U_11731,C_696773,2020-04-26 19:15:24
U_11731,C_682661,2020-04-27 08:25:46
U_11731,C_697778,2020-06-10 14:31:51
U_11731,C_682360,2020-09-15 08:04:40
U_12039,C_682759,2019-12-05 22:03:15
U_12039,C_677010,2019-12-05 22:07:31
U_12039,C_680745,2019-12-19 10:42:41
U_12039,C_680972,2020-07-12 08:52:56
U_12155,C_784172,2019-12-25 09:41:23
U_12155,C_696773,2019-12-26 01:12:49
U_12155,C_735157,2019-12-26 01:17:04
U_12155,C_697791,2019-12-26 10:09:37
U_12155,C_682672,2019-12-27 23:12:06
U_12155,C_676937,2020-01-03 22:26:51
U_12155,C_697821,2020-02-19 01:43:20
U_13146,C_676937,2020-02-18 21:57:58
U_13146,C_680745,2020-02-18 21:58:55
U_13146,C_677010,2020-02-18 23:58:07
U_13146,C_697821,2020-06-29 16:56:44
U_14489,C_697821,2020-02-23 14:09:48
U_14489,C_677010,2020-03-05 22:02:35
U_14489,C_734011,2020-05-08 18:45:21
U_14489,C_682759,2020-05-08 20:21:50
U_14489,C_697778,2020-10-29 20:00:56
U_14489,C_770751,2020-10-29 20:20:42
U_14489,C_676953,2020-11-03 20:30:31
U_20395,C_680745,2020-06-08 18:35:28
U_20395,C_697721,2020-06-08 18:50:21
U_20395,C_697791,2020-06-16 08:05:28
U_20395,C_697821,2020-10-16 07:34:16
U_21726,C_697091,2020-02-08 19:53:20
U_21726,C_734011,2020-04-28 03:09:25
U_21726,C_680762,2020-05-14 16:30:37
U_21726,C_682633,2020-08-14 20:19:41
U_22333,C_682661,2020-03-15 23:07:26
U_22333,C_696922,2020-03-16 00:55:16
U_22333,C_680762,2020-03-16 01:16:18
U_22333,C_735157,2020-03-28 20:59:52
U_22632,C_735157,2019-10-25 15:02:33
U_22632,C_682610,2019-12-15 23:13:19
U_22632,C_697791,2020-02-23 21:17:20
U_22632,C_697821,2020-04-10 22:13:34
U_22632,C_677157,2020-08-04 22:10:06
U_22677,C_677010,2020-04-28 22:21:33
U_22677,C_784172,2020-04-28 22:29:33
U_22677,C_682672,2020-04-28 22:31:21
U_22677,C_697091,2020-05-17 08:13:58
U_24275,C_682610,2019-12-22 21:45:51
U_24275,C_676953,2020-02-13 11:32:04
U_24275,C_697791,2020-11-21 18:24:12
U_24275,C_677010,2020-11-21 18:24:29
U_24275,C_676937,2020-11-21 18:24:42
U_24275,C_697778,2020-11-21 18:26:22
U_24275,C_682381,2020-11-21 18:27:01
U_24277,C_697791,2019-09-29 19:16:01
U_24277,C_677010,2019-10-17 23:56:55
U_24277,C_769293,2019-10-21 00:06:58
U_24277,C_676937,2019-10-29 20:51:04
U_24277,C_682400,2020-02-15 17:05:55
U_24277,C_681684,2020-03-04 00:08:18
U_24277,C_697821,2020-04-28 10:18:19
U_24277,C_681345,2020-06-05 17:14:44
U_25298,C_680745,2019-12-21 23:33:50
U_25298,C_735157,2019-12-21 23:34:33
U_25298,C_696922,2019-12-21 23:34:52
U_25298,C_682661,2019-12-21 23:35:25
U_25298,C_680762,2019-12-21 23:38:00
U_25298,C_677157,2019-12-21 23:38:23
U_25298,C_682737,2020-09-05 07:48:50
U_25298,C_680910,2020-09-05 07:49:41
U_25298,C_770751,2020-09-05 07:50:12
U_25298,C_681444,2020-09-05 07:53:01
U_26459,C_676937,2019-11-28 15:07:25
U_26459,C_697791,2019-11-28 15:08:54
U_26459,C_682610,2020-04-21 23:37:54
U_26459,C_696922,2020-05-28 01:55:25
U_26489,C_680747,2020-06-15 20:06:13
U_26489,C_770751,2020-08-04 20:18:54
U_26489,C_681678,2020-08-04 20:32:35
U_26489,C_697821,2020-08-04 21:00:10
U_26985,C_697821,2020-02-11 23:58:22
U_26985,C_697791,2020-10-09 21:21:44
U_26985,C_676937,2020-10-09 21:22:06
U_26985,C_677010,2020-10-09 21:24:03
U_28218,C_677010,2020-02-27 15:41:48
U_28218,C_682610,2020-02-27 15:46:14
U_28218,C_735157,2020-02-27 16:51:12
U_28218,C_697791,2020-09-17 12:58:04
U_28218,C_697721,2020-09-17 13:17:48
U_28218,C_676953,2020-09-17 13:26:17
U_30626,C_677010,2019-11-11 23:47:03
U_30626,C_697821,2019-11-11 23:52:04
U_30626,C_676937,2019-11-11 23:54:17
U_30626,C_734011,2019-11-12 00:18:54
