problem_id,content,option,answer,score,type,typetext,location,context_id,exercise_id,language
Pm_3728,“教育不是灌输，而是点燃火焰” 这一思想出自于：,"{'A': '霍瑞斯曼', 'B': '苏格拉底', 'C': '富兰克林', 'D': '爱因斯坦'}","[""B""]",1.0,1,单选题,1.2,"[896111, 6404452, 896115, 896117, 896119, 6388401, 6388403, 6388405, 896127]",Ex_2972,Chinese
Pm_3729,如何学好数据挖掘技术？,"{'A': '认真学习慕课视频', 'B': '充分利用课后阅读材料', 'C': '勤于动手，实践出真知', 'D': '死记硬背、眼高手低', 'E': '主动思考，知其然，知其所以然'}","[""A"", ""B"", ""C"", ""E""]",2.0,2,多选题,1.2,"[896111, 6404452, 896115, 896117, 896119, 6388401, 6388403, 6388405, 896127]",Ex_2972,Chinese
Pm_3730,在超市环境中对客户位置轨迹进行记录和分析的主要目的有哪些？,"{'A': '对拥挤人群进行预警', 'B': '优化商场布局', 'C': '防盗', 'D': '个性化营销'}","[""A"", ""B"", ""D""]",2.0,2,多选题,1.4,"[896111, 6404452, 896115, 896117, 896119, 6388401, 6388403, 6388405, 896127]",Ex_2973,Chinese
Pm_3731,在实际数据分析工作中，数据类型转换和数据自身的错误是面临的主要挑战之一。,"{'true': '正确', 'false': '错误'}","[""true""]",1.0,6,判断题,1.4,"[896111, 6404452, 896115, 896117, 896119, 6388401, 6388403, 6388405, 896127]",Ex_2973,Chinese
Pm_3732,大数据和传统数据分析相比，核心特征就是数据量大。,"{'true': '正确', 'false': '错误'}","[""false""]",1.0,6,判断题,1.4,"[896111, 6404452, 896115, 896117, 896119, 6388401, 6388403, 6388405, 896127]",Ex_2973,Chinese
Pm_3733,理想的数据挖掘工作成果应当：,"{'A': 'Interesting', 'B': 'Well Known', 'C': 'Useful', 'D': 'Hidden'}","[""A"", ""C"", ""D""]",2.0,2,多选题,1.6,"[896111, 6404452, 896115, 896117, 896119, 6388401, 6388403, 6388405, 896127]",Ex_2974,Chinese
Pm_3734,ETL系统的主要作用包括：,"{'A': '数据提取', 'B': '数据转换', 'C': '数据分析', 'D': '数据装载'}","[""A"", ""B"", ""D""]",2.0,2,多选题,1.6,"[896111, 6404452, 896115, 896117, 896119, 6388401, 6388403, 6388405, 896127]",Ex_2974,Chinese
Pm_3735,分类器在训练样本上的学习误差越低越好。,"{'true': '正确', 'false': '错误'}","[""false""]",1.0,6,判断题,1.8,"[896111, 6404452, 896115, 896117, 896119, 6388401, 6388403, 6388405, 896127]",Ex_2975,Chinese
Pm_3736,混淆矩阵中False Negative的含义是：,"{'A': '被错误地分为正类的样本', 'B': '被正确地分为正类的样本', 'C': '被错误地分为负类的样本', 'D': '被正确地分为负类的样本'}","[""C""]",1.0,1,单选题,1.8,"[896111, 6404452, 896115, 896117, 896119, 6388401, 6388403, 6388405, 896127]",Ex_2975,Chinese
Pm_3737,在ROC分析中，分类器的性能曲线的理想状态是：,"{'A': '对角线（AUC等于0.5）', 'B': '越靠下越好（AUC趋近于0）', 'C': '越靠上越好（AUC趋近于1）'}","[""C""]",1.0,1,单选题,1.8,"[896111, 6404452, 896115, 896117, 896119, 6388401, 6388403, 6388405, 896127]",Ex_2975,Chinese
