log_id,problem_id,user_id,is_correct,attempts,score,submit_time
12659672_976057,Pm_976057,U_12659672,1,1,,2020-10-30 23:15:21
12659672_976058,Pm_976058,U_12659672,0,1,,2020-10-30 23:16:18
12659672_976059,Pm_976059,U_12659672,0,1,,2020-10-30 23:17:34
12659672_976060,Pm_976060,U_12659672,1,1,,2020-10-31 11:44:55
12659672_976061,Pm_976061,U_12659672,1,1,,2020-11-01 06:25:05
12659672_976062,Pm_976062,U_12659672,0,1,,2020-11-01 06:25:20
12659672_976063,Pm_976063,U_12659672,0,1,,2020-11-01 06:26:01
12659672_976064,Pm_976064,U_12659672,1,1,,2020-11-01 06:27:49
14392312_1209648,Pm_1209648,U_14392312,0,1,0.0,2020-07-19 15:44:19
14392312_1209649,Pm_1209649,U_14392312,0,1,0.0,2020-07-19 15:44:37
14392312_1209650,Pm_1209650,U_14392312,0,1,0.0,2020-07-19 15:44:50
14392312_1209651,Pm_1209651,U_14392312,0,1,0.0,2020-07-19 15:45:00
14392312_1209652,Pm_1209652,U_14392312,0,1,0.0,2020-07-19 15:45:26
14424233_738095,Pm_738095,U_14424233,1,1,1.0,2020-05-18 00:29:17
14424233_738096,Pm_738096,U_14424233,1,1,1.0,2020-05-18 00:29:20
14424233_738097,Pm_738097,U_14424233,1,1,1.0,2020-05-18 00:29:23
14424233_738098,Pm_738098,U_14424233,1,1,1.0,2020-05-18 00:29:26
14424233_738099,Pm_738099,U_14424233,1,1,1.0,2020-05-18 00:31:07
14424233_738100,Pm_738100,U_14424233,1,1,1.0,2020-05-18 00:31:10
14424233_738101,Pm_738101,U_14424233,1,1,1.0,2020-05-18 00:31:13
14424233_738102,Pm_738102,U_14424233,1,1,1.0,2020-05-18 00:31:16
14424233_738103,Pm_738103,U_14424233,1,1,1.0,2020-05-18 00:31:23
14424233_738104,Pm_738104,U_14424233,1,1,1.0,2020-05-18 00:31:26
14424233_738105,Pm_738105,U_14424233,1,1,1.0,2020-05-18 00:31:29
14424233_738106,Pm_738106,U_14424233,1,1,2.0,2020-05-18 00:31:33
14424233_738107,Pm_738107,U_14424233,1,1,2.0,2020-05-18 00:31:37
14424233_738108,Pm_738108,U_14424233,1,1,1.0,2020-05-18 00:32:38
14424233_738109,Pm_738109,U_14424233,1,1,1.0,2020-05-18 00:32:42
14424233_738110,Pm_738110,U_14424233,1,1,1.0,2020-05-18 00:32:46
14424233_738111,Pm_738111,U_14424233,1,1,1.0,2020-05-18 00:32:49
14424233_738112,Pm_738112,U_14424233,1,1,1.0,2020-05-18 00:32:52
14424233_738113,Pm_738113,U_14424233,1,1,1.0,2020-05-18 00:32:55
14424233_738114,Pm_738114,U_14424233,1,1,1.0,2020-05-18 00:32:58
14424233_738115,Pm_738115,U_14424233,1,1,1.0,2020-05-18 00:33:02
14424233_738116,Pm_738116,U_14424233,1,1,2.0,2020-05-18 00:33:06
14424233_738117,Pm_738117,U_14424233,1,1,2.0,2020-05-18 00:33:10
14424233_738118,Pm_738118,U_14424233,1,1,2.0,2020-05-18 00:33:15
14424233_738119,Pm_738119,U_14424233,1,1,2.0,2020-05-18 00:33:18
14424233_738120,Pm_738120,U_14424233,1,1,2.0,2020-05-18 00:33:22
14424233_738121,Pm_738121,U_14424233,1,1,1.0,2020-05-18 00:34:20
14424233_738122,Pm_738122,U_14424233,1,1,1.0,2020-05-18 00:34:23
14424233_738123,Pm_738123,U_14424233,1,1,1.0,2020-05-18 00:34:25
14424233_738124,Pm_738124,U_14424233,1,1,1.0,2020-05-18 00:34:28
14424233_738125,Pm_738125,U_14424233,1,1,1.0,2020-05-18 00:34:30
14424233_738126,Pm_738126,U_14424233,1,1,2.0,2020-05-18 00:34:33
14424233_738127,Pm_738127,U_14424233,1,1,2.0,2020-05-18 00:34:36
14424233_738128,Pm_738128,U_14424233,1,1,2.0,2020-05-18 00:34:41
14424233_738129,Pm_738129,U_14424233,1,1,2.0,2020-05-18 00:34:52
14424233_738130,Pm_738130,U_14424233,1,1,1.0,2020-05-18 00:35:02
14424233_738131,Pm_738131,U_14424233,1,1,1.0,2020-05-18 00:35:05
14424233_738132,Pm_738132,U_14424233,1,1,2.0,2020-05-18 00:35:08
14424233_738133,Pm_738133,U_14424233,1,1,2.0,2020-05-18 00:35:11
14424233_738134,Pm_738134,U_14424233,1,1,2.0,2020-05-18 00:35:15
14424233_738135,Pm_738135,U_14424233,1,1,1.0,2020-05-18 00:37:24
14424233_738136,Pm_738136,U_14424233,1,1,1.0,2020-05-18 00:37:27
14424233_738137,Pm_738137,U_14424233,1,1,2.0,2020-05-18 00:37:31
14424233_738138,Pm_738138,U_14424233,1,1,2.0,2020-05-18 00:37:41
14424233_738139,Pm_738139,U_14424233,1,1,1.0,2020-05-18 00:37:44
14424233_738140,Pm_738140,U_14424233,1,1,1.0,2020-05-18 00:37:47
14424233_738141,Pm_738141,U_14424233,1,1,2.0,2020-05-18 00:37:50
14424233_738142,Pm_738142,U_14424233,1,1,2.0,2020-05-18 00:37:53
14424233_738143,Pm_738143,U_14424233,1,1,2.0,2020-05-18 00:38:01
14424233_738144,Pm_738144,U_14424233,1,1,2.0,2020-05-18 00:38:08
14424233_738145,Pm_738145,U_14424233,1,1,2.0,2020-05-18 00:38:11
14424233_738146,Pm_738146,U_14424233,1,1,2.0,2020-05-18 00:38:14
14424233_738147,Pm_738147,U_14424233,1,1,1.0,2020-05-18 00:38:29
14424233_738148,Pm_738148,U_14424233,1,1,1.0,2020-05-18 00:38:32
14424233_738149,Pm_738149,U_14424233,1,1,1.0,2020-05-18 00:38:35
14424233_738150,Pm_738150,U_14424233,1,1,1.0,2020-05-18 00:38:37
14424233_738151,Pm_738151,U_14424233,1,1,1.0,2020-05-18 00:38:40
14424233_738152,Pm_738152,U_14424233,1,1,1.0,2020-05-18 00:38:43
14424233_738153,Pm_738153,U_14424233,1,1,1.0,2020-05-18 00:38:46
14424233_738154,Pm_738154,U_14424233,1,1,1.0,2020-05-18 00:38:48
14424233_738155,Pm_738155,U_14424233,1,1,1.0,2020-05-18 00:38:51
14424233_738156,Pm_738156,U_14424233,1,1,2.0,2020-05-18 00:38:55
14424233_738157,Pm_738157,U_14424233,1,1,2.0,2020-05-18 00:39:00
